#OTU_ID,DD10_2,DD20_1,DD20_6,DD20_3,DD20_4,DD20_5,DD10_4,DD10_3,DD10_1,DD20_2,DD10_5,DD10_6
OTU4342881,1,1,0,1,0,0,1,2,3,0,1,2
OTU215575,3,1,4,2,4,3,1,1,5,1,1,2
OTU222196,12,4,1,8,9,3,6,6,9,6,9,7
OTU2565175,5,1,4,1,2,5,1,2,6,1,4,4
OTU238280,2,0,0,0,0,0,1,1,5,0,1,0
OTU139220,1,0,0,0,0,1,1,0,3,0,0,1
OTU222350,3,4,7,1,2,7,0,1,2,2,1,2
OTU4369700,2,1,0,1,1,1,4,5,3,2,3,1
OTU205301,1,0,0,0,0,0,1,0,2,0,0,1
OTU160422,4,2,0,2,1,1,2,1,1,4,2,3
OTU1105280,8,3,4,9,9,3,4,6,10,2,2,3
OTU4368271,12,13,14,9,12,11,7,9,8,11,11,7
OTU255448,5,6,7,5,6,4,6,4,5,6,1,4
OTU4360582,2,3,1,1,1,0,1,3,1,5,2,4
OTU3469796,1,1,1,0,1,0,2,1,2,1,1,2
OTU4308332,1,2,3,0,1,1,0,1,3,3,2,4
OTU114587,1,2,4,1,3,3,6,5,4,2,2,3
OTU1146264,4,15,35,14,18,34,4,3,3,10,16,16
OTU4377104,25,15,20,13,16,20,19,15,21,11,7,8
OTU221349,8,9,4,10,10,4,10,10,12,11,14,12
OTU244657,2,0,0,0,0,0,1,1,2,0,1,1
OTU2313705,1,0,0,0,0,0,0,0,1,0,1,1
OTU364805,11,2,1,6,5,3,6,7,9,4,4,4
OTU4346961,0,1,0,1,2,0,1,1,1,0,1,1
OTU370301,4,2,1,0,1,1,0,1,3,1,1,1
OTU1072424,1,1,1,0,0,3,1,3,1,0,3,3
OTU4338644,0,0,0,0,0,0,1,0,1,0,1,2
OTU211188,2,0,1,5,5,1,0,0,3,0,1,2
OTU356027,1,2,0,2,1,0,2,0,2,3,3,2
OTU345333,1,3,1,2,4,4,1,1,2,1,2,1
OTU112952,11,11,3,6,6,3,12,12,10,7,5,7
OTU185701,1,1,3,2,2,3,0,0,1,0,2,1
OTU1638797,5,3,5,3,4,1,0,1,4,3,4,2
OTU4296811,7,6,1,3,5,0,6,2,7,5,14,14
OTU2336672,3,1,0,1,2,1,1,0,4,3,4,1
OTU4330545,4,3,4,2,4,4,2,3,6,3,2,3
OTU207320,14,25,21,25,21,21,18,21,16,20,15,12
OTU252274,2,3,4,2,2,4,2,1,2,2,2,0
OTU113609,15,12,0,1,0,0,4,5,9,11,1,1
OTU223251,3,3,1,2,1,3,1,1,4,3,0,1
OTU1108960,4,4,5,2,3,3,3,4,6,5,2,1
OTU2345806,2,2,0,3,3,1,2,1,2,3,3,2
OTU1060517,2,0,0,0,0,0,4,1,1,0,0,1
OTU4336536,1,0,0,0,0,0,0,0,1,0,1,1
OTU247867,1,0,0,0,0,0,0,0,0,0,1,1
OTU254670,1,1,0,2,1,0,1,0,1,1,3,2
OTU327042,1,1,0,3,1,3,3,3,0,1,1,1
OTU113674,3,1,0,2,1,0,1,0,4,1,3,2
OTU203826,1,0,0,0,0,0,1,1,1,0,1,0
OTU3023198,1,1,0,1,1,0,2,1,1,1,1,1
OTU1074016,1,0,0,0,0,0,1,1,0,0,1,1
OTU254116,39,25,33,38,37,26,38,37,39,22,43,41
OTU3627262,1,0,0,0,0,0,1,0,2,0,1,1
OTU132814,3,0,3,3,2,1,8,7,3,0,2,2
OTU133306,3,0,1,1,1,1,1,1,3,0,1,2
OTU221964,1,1,3,2,2,4,2,3,2,1,4,2
OTU195316,1,0,0,0,0,0,1,0,0,0,1,1
OTU3868277,2,3,3,2,2,3,4,6,3,4,4,3
OTU4314932,20,9,17,20,17,16,15,17,18,14,4,4
OTU250291,1,1,1,2,1,0,3,2,1,0,2,1
OTU221791,4,2,3,6,6,4,5,7,4,3,1,2
OTU213587,4,2,3,2,5,3,3,3,3,2,2,1
OTU1118719,1,0,0,0,0,0,1,0,1,0,1,0
OTU216224,1,1,0,1,1,1,1,1,1,2,2,1
OTU211922,1,1,4,0,1,4,2,3,1,3,2,3
OTU113103,3,1,0,2,2,1,2,2,3,1,2,2
OTU1137749,2,0,0,0,0,0,0,0,2,0,0,1
OTU2904384,1,1,0,2,1,1,1,0,2,0,0,1
OTU226726,1,1,1,0,0,3,1,1,1,2,0,1
OTU296086,3,2,0,1,2,0,7,8,4,4,0,1
OTU2421587,4,2,4,4,3,5,2,3,2,2,7,3
OTU1111437,1,0,0,0,0,0,0,1,0,0,1,1
OTU4296675,1,0,0,0,0,0,0,0,1,1,1,0
OTU2845471,11,1,1,6,9,3,3,3,11,2,4,4
OTU113607,2,2,3,1,2,1,3,2,2,1,2,3
OTU1141575,2,4,0,1,1,0,4,6,2,5,6,4
OTU253010,1,0,0,0,0,0,0,0,1,0,1,0
OTU207036,0,0,0,0,0,0,1,0,1,0,1,1
OTU1689895,2,0,0,0,1,0,0,1,3,1,1,0
OTU1139687,1,0,0,0,0,0,0,0,1,0,1,1
OTU362845,2,4,3,2,2,4,3,4,5,4,4,2
OTU255838,1,1,0,2,2,1,1,0,1,1,2,1
OTU105453,1,0,0,0,0,0,1,0,1,0,1,1
OTU1040827,1,3,4,5,3,3,4,4,3,2,3,4
OTU153084,5,9,4,6,7,4,1,1,6,8,6,4
OTU1007384,1,0,3,1,1,1,1,1,2,0,1,0
OTU2714250,2,4,7,2,3,3,1,0,3,2,2,2
OTU1134664,3,4,9,4,3,11,4,3,3,4,4,7
OTU215449,10,10,4,6,7,4,13,8,6,11,9,13
OTU368218,1,4,3,3,2,1,2,4,3,3,2,2
OTU217472,1,0,0,0,0,0,0,0,1,0,0,1
OTU4345885,1,1,0,0,0,0,0,0,1,1,1,1
OTU207672,4,2,1,1,0,0,3,4,3,2,4,2
OTU1121611,1,0,3,0,1,3,1,1,1,1,0,1
OTU206038,1,0,5,1,2,3,3,2,1,2,1,1
OTU144633,4,5,1,1,2,1,4,4,4,2,3,2
OTU4310013,1,0,0,0,0,0,4,4,2,0,1,0
OTU128235,10,9,4,10,8,0,13,11,6,6,2,2
OTU4333206,1,0,0,0,0,0,1,1,3,0,0,1
OTU268742,3,3,0,0,1,0,1,0,1,2,4,4
OTU205835,1,0,0,0,0,0,0,2,1,0,1,1
OTU3486915,4,1,0,2,0,0,1,1,3,1,2,2
OTU3587027,2,2,0,1,1,1,0,0,4,3,2,1
OTU210633,4,4,1,6,5,4,2,3,5,3,1,1
OTU223743,1,1,0,0,0,0,1,0,0,1,1,1
OTU2442916,2,3,3,2,2,4,5,3,4,3,3,2
OTU4309488,1,1,1,1,1,3,2,2,1,1,1,2
OTU322919,4,8,9,5,6,8,7,7,8,6,7,8
OTU4320239,3,2,1,3,4,1,1,2,3,2,2,2
OTU1144357,1,1,3,2,2,1,0,0,1,1,1,0
OTU334113,2,2,7,4,4,4,3,2,3,2,1,1
OTU1145172,11,5,3,3,2,5,12,11,4,9,5,6
OTU257039,1,0,0,0,0,0,2,3,1,0,1,1
OTU4330047,2,2,4,3,4,4,1,2,2,2,6,6
OTU1096660,3,1,1,0,1,1,2,2,2,1,2,0
OTU4297391,0,0,0,0,0,0,1,0,1,0,1,1
OTU1000512,1,0,0,0,0,0,1,2,1,0,2,1
OTU113534,19,22,14,13,18,16,14,17,15,20,12,13
OTU4346060,3,1,1,2,2,1,4,3,3,2,5,7
OTU216549,0,0,0,0,0,0,0,0,1,0,1,1
OTU264748,0,0,0,0,0,0,0,0,1,0,1,1
OTU262768,2,0,0,0,0,0,1,0,3,0,1,1
OTU254392,3,4,4,3,2,3,2,1,5,5,1,1
OTU150673,2,1,1,0,2,1,1,2,2,2,1,1
